M_y,3323.44,3107.44,2894.83,3473.01,2765.21,2961.51,3366.72,2793.58,3120.94,2707.26,3723.05,3619.9,2980.77,3457.62,3606.33,4009.35,3725.65,2794.41,2918.6,3945.64,3084.33,3000.18,3706.2,3656.2,3210.22,3535.44,4201.12,2661.13,3431.64,3448.99,2408.61,3308.62,3421.57,3143.99,2792.8,3516.36,3285.34,3026.36,3855.66,3573.36,3539.04,4020.76,3075.14,4136.18,3099.31,3518.79,3519.31,3382.84,3304.92,3889.42,2744.84,2693.7,2872.64,2393.86,3229.98,2607.08,3059.63,4104.81,3218.2,3008.78,2898.52,3646.14,3552.79,3414.36,4298.1,3377.97,3495.75,3127.87,3725.71,2360.64,3395.26,2546.53,3607.87,2903.06,4326.9,2908.81,3013.67,3240.16,2517.32,3209.48,2935.51,3736.36,2771.59,3109.25,3428.58,3256.03,2880.49,3530.59,2401.61,2767.69,3023.7,3456.94,3145.34,3474.28,3385.99,3591.49,2520.58,3035.93,3062.27,2823.78
225,933.032,982.824,758.806,934.029,793.915,812.293,954.82,722.43,835.283,744.047,1072.95,1083.34,827.783,1044.74,999.546,1156.92,1065.53,809.358,878.3,1133.12,867.108,913.969,1081.57,1055.51,866.86,1021.11,1215.27,816.368,1025.81,1010.23,713.124,992.176,1001.14,876.599,836.018,922.276,958.255,853.851,1187.43,1045.75,1050.72,1119.77,833.68,1120.75,883.946,916.444,954.05,971.37,912.451,1130.86,862.046,824.586,778.059,767.68,893.786,745.782,790.393,1083.92,859.65,877.42,787.845,1045.56,955.977,976.593,1247.36,984.018,985.545,965.439,994.171,723.22,838.667,677.256,1001.81,854.433,1259.71,859.586,941.115,918.928,744.4,915.361,824.49,1022.24,864.736,815.946,983.755,926.833,829.025,915.819,668.516,802.134,840.492,1068.96,968.255,905.059,885.098,1026.94,637.772,932.834,922.669,824.45
250,1035.23,1090,842.202,1037.03,880.708,901.404,1059.68,802.004,927.063,825.763,1190.8,1202.03,918.412,1158.98,1109.28,1283.88,1182.57,897.75,973.917,1257.75,962.26,1013.41,1200.35,1171.48,962.314,1133.4,1348.43,905.245,1138.21,1121.16,791.065,1100.36,1111.02,972.589,927.207,1023.7,1063.09,947.458,1317.09,1160.64,1165.66,1242.95,925.166,1244.01,980.865,1017.37,1058.97,1078.04,1012.56,1255.11,955.616,914.324,863.646,851.217,991.689,827.566,877.294,1203.4,954.055,973.251,874.189,1160.47,1061.09,1083.83,1384.26,1091.51,1093.79,1070.61,1103.67,801.949,931.101,751.833,1111.75,947.872,1397.93,953.538,1043.42,1019.43,825.857,1015.62,914.882,1134.81,958.544,905.608,1091.74,1028.56,919.687,1016.67,742.016,889.839,932.661,1185.76,1074,1004.92,982.385,1139.84,708.165,1034.57,1023.32,914.494
275,1137.28,1195.61,925.379,1138.86,967.286,990.249,1163.41,880.976,1018.63,907.009,1307.16,1318.94,1008.79,1271.59,1218.26,1409.21,1297.87,985.585,1069.27,1380.51,1056.77,1112.32,1317.31,1285.71,1056.74,1244.01,1479.99,993.597,1248.78,1230.41,868.282,1208.3,1219,1068.33,1018.19,1124.81,1167.06,1040.38,1445.2,1273.6,1279.59,1364.21,1016.53,1366.2,1077.02,1117.56,1163.09,1183.48,1112.47,1377.72,1048.97,1003.39,948.715,933.234,1089.43,908.773,963.871,1321.8,1048.3,1068.74,960.23,1273.52,1165.75,1189.77,1519.33,1198.62,1200.94,1175.17,1212.37,880.391,1023.4,825.73,1220.97,1040.59,1534.34,1046.84,1145.2,1119.38,906.418,1115.72,1004.95,1246,1052.07,995.088,1198.5,1129.34,1010.11,1116.95,814.924,977.125,1024.4,1300.62,1177.86,1103.88,1079.46,1250.89,778.021,1135.46,1123.5,1003.97
300,1237.63,1300.17,1007.57,1240.63,1052.27,1077.87,1266.59,959.733,1109.06,987.658,1423.13,1435.11,1097.94,1383.39,1326.23,1533.76,1412.84,1072.3,1162.42,1503.19,1150.34,1209.12,1433.96,1399.85,1150.97,1354.48,1610.38,1080.17,1359.03,1339.32,944.778,1313.89,1326.79,1162.75,1107.33,1224.85,1269.76,1132.31,1571.52,1386.47,1392.18,1485.46,1106.55,1487.56,1172.22,1217.24,1266.52,1288.43,1210.93,1499.82,1139.84,1091.08,1033.32,1014.79,1185.53,989.35,1049.76,1439.8,1141.26,1162.46,1045.27,1386.57,1269.39,1295.26,1653.68,1303.76,1307.47,1277.69,1320.52,957.373,1114.97,899.174,1329.09,1132.09,1669.93,1138.78,1244.67,1217.82,986.458,1214.13,1093.75,1357.12,1143.25,1083.44,1304.68,1229.37,1099.13,1216.57,887.186,1063,1115.23,1414.48,1281.21,1202.71,1175.36,1361.93,847.621,1234.75,1221.79,1092.3
325,1337.63,1402.13,1089.53,1340.52,1137.09,1165.21,1367.88,1037.25,1199.29,1067.25,1536.56,1548.86,1186.41,1492.45,1433.02,1656.13,1525.22,1157.74,1255.38,1622.91,1242.92,1305.26,1547.87,1510.96,1243.42,1462.36,1738.81,1166.06,1466.13,1445.74,1019.74,1419.2,1431.71,1256.5,1196.01,1324.5,1371.11,1223.19,1696.39,1496.33,1503.19,1603.66,1196.3,1607.58,1266.21,1315.71,1368.66,1391.31,1309.21,1619.56,1230.36,1177.29,1116.79,1093.38,1281.37,1068.66,1134.85,1556.21,1234.04,1255.82,1129.52,1496.51,1372.39,1398.55,1785.48,1408.51,1412.18,1379.4,1427.39,1033.6,1206.15,971.923,1436.1,1222.49,1803.06,1229.78,1343.54,1315.49,1064.65,1312.26,1182.18,1465.84,1233.83,1171.65,1408.82,1327.88,1187.53,1315.28,958.92,1148.34,1205.04,1525.91,1381.3,1300,1271.06,1470.03,916.58,1332.78,1319.5,1179.35
350,1435.34,1502.96,1169.81,1440.22,1219.27,1250.48,1468.51,1114.32,1287.57,1146.24,1649.7,1660.87,1273.3,1600.71,1538.24,1776.7,1636.74,1241.88,1344.81,1742.29,1334.03,1398.12,1660.98,1622.07,1335.76,1569.78,1864.62,1249.19,1573.23,1551.29,1094.03,1521.02,1536.03,1348.55,1282.22,1422.32,1470.59,1312.55,1817.29,1605.84,1612.24,1721.68,1284.21,1725.76,1358.78,1413.43,1469.78,1493.65,1405.09,1738.09,1317.45,1261.9,1199.89,1171.34,1374.84,1147.37,1219.15,1671.74,1324.79,1346.29,1212.55,1606.37,1473.7,1501.41,1915.62,1510.06,1516.07,1477.96,1533.42,1107.93,1296.39,1043.53,1541.39,1311.04,1934.28,1318.67,1438.82,1410.77,1142.45,1407.99,1268.5,1574.56,1321.23,1257.92,1512.28,1425.32,1274.09,1412.94,1029.18,1231.41,1293.8,1634.97,1481.25,1397.22,1364.75,1577.94,984.833,1428.44,1414.19,1265.07
375,1532.32,1599.57,1249.89,1537.34,1301.35,1335.51,1566.11,1190,1375.74,1223.33,1758.7,1770.61,1358.91,1704.52,1641.69,1895.19,1745.19,1323.87,1434.22,1857.82,1423.68,1490.12,1770.8,1728.82,1425.23,1673.92,1989.12,1331.4,1675.24,1653.95,1165.74,1622.46,1636.88,1439.32,1367.61,1519.71,1568,1400.33,1938.18,1711.52,1718.85,1835.64,1371.53,1842.86,1449.51,1509.26,1568.88,1592.65,1500.74,1854,1404.08,1344.1,1280.92,1245.8,1467.81,1223.86,1301.96,1785.35,1415.22,1436.44,1294.13,1712.1,1574.15,1600.7,2043.09,1611.24,1617.08,1575.41,1637.45,1181.01,1385.83,1114.61,1645.06,1397.96,2063.14,1406.19,1533.34,1505.01,1217.26,1503.16,1354.4,1679.7,1407.78,1344.04,1612.46,1520.36,1359.49,1509.23,1098.9,1313.8,1380.71,1742.24,1575.85,1491.94,1458.31,1682,1052.51,1522.22,1508.19,1348.59
400,1626.3,1696.02,1327.45,1633.87,1379.81,1417.53,1663.41,1264.62,1460.98,1299.96,1867.71,1876.52,1442.6,1808.33,1743.22,2009.89,1851.59,1404.42,1518.78,1972.27,1511.5,1578.01,1878.64,1835.27,1514.69,1776.8,2108.21,1410.19,1777.21,1754.51,1236.93,1719.19,1736.07,1528.01,1449.73,1614.41,1663.33,1486.29,2051.47,1816.02,1823.35,1948.83,1456.45,1956.27,1538.59,1604.26,1666.86,1691.63,1593.15,1967.21,1486.02,1424.46,1361.58,1319.18,1557.63,1299.91,1383.98,1897.11,1502.96,1522.59,1374.29,1817.21,1672.18,1699.99,2167,1707.98,1717.54,1668.94,1740.55,1251.68,1474.14,1183.56,1746.55,1482.71,2187.9,1491.14,1623.34,1596.11,1291.59,1595.16,1437.32,1784.67,1490.04,1427.47,1712.4,1614.4,1442.59,1604.15,1166.63,1393.15,1466.53,1844.38,1670.45,1586.66,1548.88,1785.25,1118.78,1613.3,1598.22,1430.65
425,1719.37,1785.54,1404.85,1727.52,1458.27,1499.28,1755.92,1337.83,1546.2,1373.7,1971.2,1982.13,1524.52,1905.31,1842.02,2124.21,1955.61,1482.06,1603.33,2082.86,1597.05,1664.41,1983.88,1936.97,1600.35,1876.57,2227.31,1487.41,1873.75,1852.97,1304.52,1815.91,1832.41,1614.92,1531.09,1708.58,1755.35,1569.76,2164.56,1916.91,1923.95,2057.76,1540.56,2069.68,1624.8,1696.36,1761.72,1785.32,1685.35,2078.8,1567.97,1501.82,1439.53,1388.43,1646.91,1372.69,1463.7,2007.29,1590.26,1608.28,1452.37,1918.02,1769.01,1794.02,2289.73,1804.23,1813.44,1760.61,1840.58,1320.96,1561.11,1251.97,1845.54,1564.86,2312.17,1573.89,1712,1685.61,1362.41,1686.53,1519.69,1885.46,1572,1510.76,1807.16,1704.66,1524.18,1697.02,1233.32,1471.46,1549.62,1946.52,1759.3,1678.02,1639.45,1884.6,1184.68,1701.32,1687.12,1509.76
450,1808.48,1875.06,1479.01,1819.64,1532.16,1577.32,1848.44,1409.26,1627.62,1447.16,2074.16,2080,1604,2002.1,1939.24,2231.05,2055.12,1557.95,1682.43,2190.61,1681.04,1747.01,2084.64,2037.08,1685.65,1973.27,2338.95,1561.6,1968.84,1946.85,1371.69,1906.21,1924.75,1699.2,1607.98,1799.33,1846.19,1651.86,2272.39,2014.68,2023.58,2164.36,1621.52,2176.98,1709.98,1788.11,1856.01,1879.02,1773.2,2184.84,1643.76,1576.76,1516.91,1456.95,1731.96,1445.22,1542.65,2113.8,1674.01,1689.49,1528.75,2016.69,1863,1887.84,2405.31,1895.44,1909.35,1848.74,1940.15,1386.94,1646.81,1317.89,1942.59,1645.47,2428.33,1654.5,1796.42,1771.98,1432.69,1773.65,1598.51,1985.25,1647.85,1590.47,1901.92,1794.9,1602.76,1788.55,1298.11,1546.56,1631.54,2041,1846.67,1769.11,1726.02,1981.53,1248.31,1787.64,1771.95,1587.08
